Index,Team,Num of summer games,Summer gold medals,Summer silver medals,Bronze medals,Total summer medals,Num of winter games,Winter gold medals,Winter silver medals,Winter bronze medals,Total winter medals,Total number of Games,Total gold medals,Total silver medals,Total bronze medals,Total of all medals,CleanCountry,Avg_num_of_medals_per_game,Percent of gold medals,Percent of silver medals,Percent of bronze medals,Continent,Year,Rank,NOC,Gold years,Silver years,Bronze years,Total years,Yug_group,Participation_Status,Status
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1972,11,,4.0,6.0,6.0,16.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1968,20,,2.0,1.0,1.0,4.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1964,17,,2.0,2.0,4.0,8.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1956,6,,8.0,5.0,6.0,19.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1952,4,,12.0,13.0,10.0,35.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1948,2,,17.0,11.0,18.0,46.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1936,7,,6.0,5.0,10.0,21.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1928,4,,7.0,6.0,12.0,25.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1924,8,,4.0,13.0,12.0,29.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1920,2,,19.0,20.0,25.0,64.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1912,2,,23.0,25.0,17.0,65.0,UNKNOWN,Participated,active
133.0,,29.0,151.0,181.0,182.0,514.0,24.0,65.0,51.0,60.0,176.0,53.0,216.0,232.0,242.0,690.0,,13.0188679245283,31.30434782608696,33.6231884057971,35.07246376811594,Europe,1900,19,,0.0,0.0,1.0,1.0,UNKNOWN,Participated,active
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,UNKNOWN,1960,16,Sweden (SWE),1.0,2.0,3.0,6.0,UNKNOWN,Participated,active
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,UNKNOWN,1932,4,,10.0,5.0,9.0,24.0,UNKNOWN,Participated,active
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,UNKNOWN,1908,3,,8.0,6.0,11.0,25.0,UNKNOWN,Participated,active
134.0,Switzerland (SUI),30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,Switzerland,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,2024,48,Switzerland,1.0,2.0,5.0,8.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,2020,24,,3.0,4.0,6.0,13.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,2016,23,,3.0,2.0,2.0,7.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,2012,33,,2.0,2.0,0.0,4.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,2008,34,,2.0,1.0,4.0,7.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,2004,46,,1.0,1.0,3.0,5.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,2000,37,,1.0,6.0,2.0,9.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1996,18,,4.0,3.0,0.0,7.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1992,37,,1.0,0.0,0.0,1.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1988,33,,0.0,2.0,2.0,4.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1984,26,,0.0,4.0,4.0,8.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1980,19,,2.0,0.0,0.0,2.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1976,20,,1.0,1.0,2.0,4.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1972,26,,0.0,3.0,0.0,3.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1968,33,,0.0,1.0,4.0,5.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1964,22,,1.0,2.0,1.0,4.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1956,35,,0.0,0.0,1.0,1.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1952,11,,2.0,6.0,6.0,14.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1948,9,,5.0,12.0,6.0,23.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1936,11,,4.0,9.0,5.0,18.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1928,6,,7.0,4.0,4.0,15.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1924,6,,7.0,8.0,10.0,25.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1920,13,,2.0,2.0,7.0,11.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1912,16,,1.0,0.0,0.0,1.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1904,9,,1.0,0.0,2.0,3.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1900,5,,6.0,3.0,1.0,10.0,UNKNOWN,Participated,active
134.0,,30.0,54.0,81.0,79.0,214.0,24.0,63.0,47.0,58.0,168.0,54.0,117.0,128.0,137.0,382.0,,7.074074074074074,30.628272251308903,33.50785340314136,35.86387434554974,Europe,1896,10,,1.0,2.0,0.0,3.0,UNKNOWN,Participated,active
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,UNKNOWN,1960,24,Switzerland (SUI),0.0,3.0,3.0,6.0,UNKNOWN,Participated,active
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,UNKNOWN,1932,22,,0.0,1.0,0.0,1.0,UNKNOWN,Participated,active
135.0,Syria (SYR),15.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,2.0,4.0,Syria,0.2666666666666666,25.0,25.0,50.0,Asia,2020,86,Syria,0.0,0.0,1.0,1.0,UNKNOWN,Participated,active
135.0,,15.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,2.0,4.0,,0.2666666666666666,25.0,25.0,50.0,Asia,2004,71,,0.0,0.0,1.0,1.0,UNKNOWN,Participated,active
135.0,,15.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,2.0,4.0,,0.2666666666666666,25.0,25.0,50.0,Asia,1996,49,,1.0,0.0,0.0,1.0,UNKNOWN,Participated,active
135.0,,15.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,2.0,4.0,,0.2666666666666666,25.0,25.0,50.0,Asia,1984,33,,0.0,1.0,0.0,1.0,UNKNOWN,Participated,active
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,UNKNOWN,1968,42,Taiwan,0.0,0.0,1.0,1.0,UNKNOWN,Participated,active
137.0,Tajikistan (TJK),8.0,1.0,1.0,5.0,7.0,4.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,5.0,7.0,Tajikistan,0.5833333333333334,14.285714285714285,14.285714285714285,71.42857142857143,Asia,2024,79,Tajikistan,0.0,0.0,3.0,3.0,UNKNOWN,Participated,active
137.0,,8.0,1.0,1.0,5.0,7.0,4.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,5.0,7.0,,0.5833333333333334,14.285714285714285,14.285714285714285,71.42857142857143,Asia,2016,54,,1.0,0.0,0.0,1.0,UNKNOWN,Participated,active
137.0,,8.0,1.0,1.0,5.0,7.0,4.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,5.0,7.0,,0.5833333333333334,14.285714285714285,14.285714285714285,71.42857142857143,Asia,2012,79,,0.0,0.0,1.0,1.0,UNKNOWN,Participated,active
